profession	cnt
Bändlkrammer	1
Bandlmacher	2
Bändlmacher	2
Bandlmachers Tochter	1
Bandlmacherstochter	1
Bändlmacherstochter	3
Bandlmachertochter	1
Bandmacherstochter	1
Bandnoteur	1
Bankbeamtenstochter	1
Bankbeamter	1
Bankerbauer	1
Bannrichter	6
Banrichter	2
Bantlbauerstochter	1
Barbar	1
Barberer	1
Barberergütlerstochter	1
Barbergütler	1
Barbermiller	1
Barbermüller	4
Barbier	3
Barbierer	2
Barbitonsor	16
Barbitonsoris filius	1
Barmherzige Schwester	1
Bärnwallnertochter	1
Baron	1
Baron 	2
Baron von Mukhenthall Haubtman	1
Baronissa	3
