name	cnt
Aibhberger	1
Aibinger	3
Aibl	50
Aibling	14
Aibling de	26
Aibling, von	5
Aiblingen, von	1
Aiblinger	18
Aiblinger, von	1
Aiblmaier	1
Aiblmayr	2
Aibner	1
Aiböck	1
Aibrechtshofer	1
Aich	4
Aich 	1
Aichart	1
Aichauer	1
Aichbaintner	2
Aichbandner	1
Aichbauer	161
Aichbaur	5
Aichberger	659
Aichberger 	1
Aichbergerin	6
Aichbichl	2
Aichbichler	163
Aichböck	2
Aichbüchler	8
Aichecker	2
Aicheger	1
Aichegger	23
Aichelbauer	2
Aichelberger	9
Aichele	1
Aichelhofer	1
Aichellohner	1
Aichelmayr	1
Aichelmüller	1
Aichelpauer	1
Aichelperger	2
Aichelsauer	1
Aichelsberger	75
Aichelscher	4
Aichelse	1
Aichelsecher	1
Aichelsecherin	1
Aichelseder	28
Aichelseer	2
Aichelseher	36
Aichelseherin	1
Aichelsöher	1
Aichelsperger	26
Aichelspergerin	1
Aichelsseherin	1
Aichelssperger	1
Aichelstelzer	1
Aichen	1
Aichen, v. 	1
Aichenberger	2
Aichenbrenner	1
Aichendorfer	1
Aichenger	1
Aichenheninger	1
Aichenhofeder	1
Aichenloher	2
Aichenpoindner	1
Aichenseher	3
Aichensperger	1
Aichensterr	1
Aichenthaler	1
Aichenzeder	1
Aicher	1918
Aicher-Eisenbuchner	2
Aicher 	1
Aicherin	1
Aicheringer	2
Aichermann	5
Aichersberger	1
Aicherseher	1
Aichersöder	2
Aichersperger	9
Aicherstaderin	1
Aichersteger	2
Aichert	1
Aichertshamer	2
Aichertsperger	1
Aicheseder	1
Aichet	3
Aichetberger	1
Aichetseder	1
Aichetshame	1
Aichetshamer	10
Aichetshammer	3
Aichfeld	1
Aichfeldner	1
Aichfeldtner	1
Aichfellner	1
Aichger	1
Aichhainter	1
Aichhammer	2
Aichhauser	1
Aichheidtner	1
Aichhelm	1
Aichhorn	13
Aichhorn von	1
Aichhorninger	1
Aichhuber	3
Aichhüber	1
Aichhueber	1
Aiching	2
Aichinger	3216
Aichinger 	1
Aichingerin	14
Aichker	1
Aichlbauer	6
Aichlberger	128
Aichleitner	3
Aichler	19
Aichletsspergerin	1
Aichleuthner	1
Aichlhuber	1
Aichlinger	1
Aichlpainder	1
Aichlpainter	7
Aichlpauer	2
Aichlpaur	1
Aichlpecher	1
Aichlperger	1
Aichlpichler	1
Aichlsberger	10
Aichlschmid	2
Aichlseder	49
Aichlseeder	1
Aichlseer	4
Aichlseher	119
Aichlsperger	65
Aichlspiller	1
Aichlzeintner	1
Aichmaier	2
Aichmann	3
Aichmayer	1
Aichmayr	3
Aichmeier	3
Aichmiller	5
Aichmillerin	1
Aichmüller	32
Aichner	282
Aichner-Prunhuber	1
Aichnerheinger	1
Aichöcker	2
Aichökher	3
Aichorn	3
Aichörndl	1
Aichöster	1
Aichpaindtner	1
Aichpaintner	3
Aichpauer	1
Aichpaur	17
Aichperger	108
Aichperger 	1
Aichpergerin	2
Aichpeuntner	3
Aichpeutner	1
Aichpichler	38
Aichpointner	34
Aichpühler	1
Aichreinger	1
Aichschmid	33
Aichschmidin	1
Aichschmidt	17
Aichschmied	2
Aichschmit	1
Aichschmitt	3
Aichselscher	1
Aichsödter	1
Aichsperg	1
Aichsperger	2
Aichstadler	1
Aichstätter	2
Aichstckl	1
Aichstetter	5
Aichstöckl	9
Aichstoeckl	10
Aichstoeckler	2
Aichstötter	1
Aichter	3
Aichtobler	1
Aichwanger	1
Aichzichler	1
Aichzuhler	2
Aicji	1
Aickelsperger	1
Aid	2
Aidam	1
Aidbauer	2
Aidberger	2
Aide	1
Aidenberger	182
Aidenbichler	1
Aidenbrunner	2
Aideneder	1
Aidengruber	1
Aidenhammer	1
Aidenhauser	1
Aidenperger	1
Aidenpointner	3
Aidenpök	1
Aidensperger	6
Aider	28
Aiderledner	1
Aidinger	88
Aidl	31
Aidler	1
Aidlin	3
Aidlinger	10
Aidlpaur	1
Aidmayr	3
Aidmer	1
Aidmoser	1
Aidner	17
Aidnperger	1
Aidorfer	1
Aidpichler	1
Aidtberger	1
Aidtel	1
Aidtenberger	1
Aidter	1
Aidtmayr	1
Aier	1
Aierbacher	9
Aiernschmalz	10
Aierschmalz	3
Aig	1
Aigartner	1
Aigauer	1
Aigberger	1
Aigeiner	2
Aigel	1
Aigelsberger	3
Aigelsdorfer	1
Aigelsreiter	1
Aigemann	1
Aigen	1
Aigenberger	4
Aigengruber	9
Aigengrueber	2
Aigenhamer	3
Aigenrainer	1
Aigenreither	1
Aigensperger	1
Aiger	9
Aigermann	1
Aigg	1
Aiginger	225
Aigingerin	1
Aigl	17
Aiglätzberger	1
Aiglbauer	1
Aigler	2
Aiglesberger	3
Aigletsberg	1
Aiglfinger	1
Aiglinger	1
Aiglmayer	1
Aiglsberger	1
Aiglsdorfer	1
Aiglsreiter	1
Aiglstorfer	8
Aigmair	1
Aigman	1
Aign	3
Aign 	1
Aignbauer	1
Aignberger	2
Aigner	9228
Aigner 	1
Aignerer	1
Aignerin	24
Aignermann	1
Aigngruber	25
Aigninger	9
Aignschnöder	1
Aigrieger	1
Aigriner	13
Aigringer	114
Aigringerin	1
Aigrinner	1
Aigrüner	1
Aihberger	1
Aihtman	1
Aikerl	1
Aikermann	1
Aikersberger	1
Aikhspergerin	1
Ailbl	2
Ailer	7
Ailinger	2
Ailinzer	1
Ailler	7
Aillinger	7
Aillmayr	1
Ailmann	1
Ailtenberger	1
Ailzinger	3
Aiman	1
Aimannsperger	1
Aimansberger	1
Aimazeter	1
Aimazperger	1
Aimber	1
Aimberger	3
Aimberstorfer	1
Aimeder	1
Aimer	31
Aimerling	1
Aimiller	1
Aiminger	1
Aimmer	8
Aimveil	1
Aimyald	1
Ain	1
Ainaker	1
Ainatsperger	1
Ainazeder	3
Ainbäck	3
Ainbaitner	2
Ainbauer	2
Ainbaur	1
Ainbeck	16
Ainbek	1
Ainberger	158
Ainbergerin	1
Ainbichler	2
Ainböck	26
Ainboeck	1
Ainbüchler	2
Ainbuchner	1
Ainbuechner	1
Aindel	2
Ainderl	1
Aindl	165
Aindlmayr	1
Aindorfer	2
Aindtl	2
Aineder	72
Ainer	10
Aines	1
Ainetsberger	115
Ainetseder	3
Ainetsredter	1
Ainetzbauer	1
Ainetzberger	32
Ainetzperger	1
Ainezberger	35
Ainezeder	35
Ainezleiter	1
Aing	2
Aingartner	2
Ainger	17
Aingeter	1
Aingner	2
Aingshamer	1
Ainhäll	2
Ainhamberin	1
Ainhamer	1
Ainhändl	1
Ainhartl	1
Ainharts	1
Ainhauser	1
Ainhell	3
Ainheller	1
Ainhellig	1
Ainhöll	3
Ainholzer	1
Ainigpauer	1
Aining	1
Aininger	5
Ainingler	1
Ainkomerer	1
Ainl	8
Ainlechner	1
Ainmayr	1
Ainner	1
Ainoder	1
Ainöder	20
Ainödseder	2
Ainolt	1
Ainon	1
Ainötsöder	1
Ainpech	1
Ainpeck	1
Ainperger	3
Ainpichel	1
Ainpichler	1
Ainpöck	14
Ainpöckh	2
Ainpointner	1
Ainpörkh	1
Ainpühler	1
Ainreuter	1
Ainrold	1
Ains	1
Ainsbeck	1
Ainschwanger	2
Ainsel	1
Ainsenberger	1
Ainsidl	1
Ainsigler	1
Ainsn	1
Ainsperger	1
Ainßinger	1
Ainstand	3
Ainstant	2
Ainsterin	1
Aintaler	1
Aintaller	1
Aintenpener	1
Ainthaler	2
Aintzperger	1
Ainwail	1
Ainwang	9
Ainwanger	1
Ainweib	1
Ainweich	2
Ainweil	1
Ainz	1
Ainzel	1
Ainzhamer	1
Ainzinger	35
Ainzlsperger	1
Aipl	1
Airaezl	1
Airbichler	2
Airtner	1
Airztobler	1
Aisbeckh	1
Aisbiller	1
Aisch	7
Aischbauer	1
Aischer	1
Aischiner	2
Aischinger	3
Aischl	1
Aisen	2
Aiser	1
Aisinger	3
Aislmayer	1
Aisn	1
Aisner	2
Aisöcker	1
Aispöck	1
Aißa	1
Aissin	1
Aißinger	1
Aisslinger	1
Aißlinger	1
Aißner	2
Aister	92
Aisterer	1
Aistinger	3
Aitenberger	1
Aitenbuechner	1
Aitengruber	2
Aiter	1
Aitermoser	1
Aithenberger	2
Aitinger	1
Aitl	67
Aitnberger	1
Aitner	4
Aitnperger	1
Aitter	1
Aittl	1
Aitzeder	1
Aitzenberger	2
Aitzenhamer	6
Aitzenhammer	1
Aitzetmüller	3
Aitzinger	7
Aivogl	1
Aiwöck	1
Aixschmidt	1
Aiz	1
Aizenberger	1
Aizenhamer	1
Aizenhammer	3
Aizesberger	1
Aizinger	9
Ajcher	1
Ajchner	1
Akate v. (Grüner)	1
Akel	1
Akenla	1
Akerl	5
Akerman	4
Akermann	2
Akeroli	2
Akershammer	5
Akerstorfer	1
Akherman	2
Akhermanin	1
Akhermann	3
Akman	1
Akroli	1
Akstaller	2
Akstein	1
Alaber	1
Alabrandi	1
Alachhammer	1
Alacker	1
Alagrandi	1
Alamodi	1
Alaprandi	2
Alatzeder	1
Alba	1
Alban	9
Albanbauer	29
Albanberger	3
Albaneder	5
Albani	1
Albanschmid	1
Albanschneider	1
Albanter	1
Albauer	2
Albdinger	1
Albecht	1
Albeck	1
Albecker	1
Albeckh	1
Albel	19
Älbel	5
Albelmayr	3
Albenbauer	3
Albenbeck	1
Albenberger	143
Albeneder	18
Albenfeder	1
Albenkircher	1
Albenperger	1
Albenschneider	1
Albenstetter	2
Albenstorfer	3
Alber	447
Älber	3
Alber 	1
Alber  	3
Alberbauer	49
Alberberger	3
Alberecht	1
Albereder	1
Alberel	1
Alberer	178
Alberetter	1
Alberger	24
Alberin	1
Albermayr	2
Albernberg	2
Albernperger	1
Alberpauer	6
Alberpaur	2
Albers	2
Albersbauer	1
Albersberger	35
Alberschneider	3
Albersdorfer	1
Albersdorffer	1
Alberseder	18
Albershauser	1
Albershofner	1
Alberskirchner	1
Alberspauer	1
Albersperger	103
Alberstädter	1
Alberstätter	8
Alberstetter	8
Alberstorfer	29
Alberstötter	6
Albert	76
Albert 	7
Albertberger	1
Alberth	1
Alberti	2
Albertinger	1
Albertini	1
Albertl	2
Albertsberger	2
Albertseder	6
Albertseder 	2
Albertshamer	15
Albertskirchner	3
Albertsperger	8
Albertus	1
Albeschneider	1
Albeseder	2
Albesgruber	1
Albetseder	1
Albi	1
Albicker	1
Albig	2
Albik	1
Albin	7
Albing	1
Albinger	21
Albito	2
Albl	17
Älbl	9
Alblbauer	2
Albls	1
Albmaier	1
Alböck	3
Alböks	1
Albold	2
Albrächt	1
Albram	1
Albramseder	1
Albrecht	910
Albrechts	1
Albrechtsberger	23
Albrechtshamer	1
Albrechtslecher	1
Albrukner	1
Albrumer	1
Albschäftl	1
Albtsmayr	1
Albus	1
Albweder	1
Albwehl	1
Alchinger	1
Älchinger	1
Ald	1
Aldenbuchinger	1
Aldendorfer	2
Alderhuber	2
Aldersgruber	1
Aldersperger	3
Aldesperger	1
Aldhamer	1
Aldinger	2
Aldkindt	1
Aldmanshofer	1
Aldorfer	1
Aldorfner	1
Alebrandi	1
Aleder	1
Aledinger	1
Alehner	1
Aleidner	1
Aleidtner	1
Aleihtner	1
Alein	1
Aleithner	1
Aleitner	15
Aleitnerin	1
Aleittner	3
Alemon	1
Alendinger	1
Alenperger	1
Alentinger	1
Alepandi	1
Aleprandi	1
Aler	2
Alersamer	1
Alersch	1
Alerschacha	1
Alerscheska	1
Alertinger	28
Alertseder	4
Alertshamer	2
Alerzamer	1
Ales	4
Alesch	11
Alescher	1
Aleseifer	1
Alessio	1
Alether	1
Aletseder	9
